"BehaviorSpace results (NetLogo 5.3.1)"
"main.nlogo"
"modelo-1-1"
"11/11/2016 21:16:19:791 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-18","18","-18","18"
"[run number]","nTicks","taxa_bonus","taxa_alimentos","energia_alimentos","energia_inicial_ags","qnt_ag_sociais","qnt_ag_solitarios","SempAvanc?","ComLider?","Agrupar?","taxa_perda_ganho","SeguirLider?","alcance_ags","[step]","ticks","count solitarios","count sociais","count lideres","nSolMortos","nSocMortos","nLidMortos","(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc))","(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid))","(tmp_vida_lideres / nSoc2Lid)","nSol2Soc","nSoc2Lid","nLid2Soc","nAfastamentos","(nAfastamentos / ticks)","nContatos","(nContatos / ticks)","nLidContatos","(nLidContatos / ticks)"
"1","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","31","1","0","228.38541666666666","200","<EngineException>","1","0","0","161","0.322","22","0.044","0","0"
"2","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","0","1","0","32","0","0","176.9375","800","<EngineException>","1","0","0","47","0.094","2","0.004","0","0"
"3","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","2","1","0","29","1","0","244.55913978494627","525","<EngineException>","2","0","0","157","0.314","41","0.082","0","0"
"4","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","494","494","0","0","0","31","2","0","238.25806451612902","200","<EngineException>","2","0","0","124","0.25101214574898784","23","0.0465587044534413","0","0"
"5","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","1","0","28","3","0","242.63218390804596","311","<EngineException>","4","0","0","68","0.136","70","0.14","0","0"
"6","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","450","450","0","0","0","33","0","0","226.45454545454547","<EngineException>","<EngineException>","0","0","0","9","0.02","0","0","0","0"
"7","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","0","0","0","33","0","0","220.12121212121212","<EngineException>","<EngineException>","0","0","0","12","0.024","0","0","0","0"
"8","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","450","450","0","0","0","32","1","0","196.375","150","<EngineException>","1","0","0","22","0.04888888888888889","15","0.03333333333333333","0","0"
"9","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","2","0","0","27","4","0","266.91954022988506","308.75","<EngineException>","4","0","0","327","0.654","37","0.074","0","0"
"10","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","3","0","0","29","1","0","222.90625","100","<EngineException>","1","0","0","302","0.604","3","0.006","0","0"
"11","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","32","0","0","226.67676767676767","<EngineException>","<EngineException>","0","0","0","1","0.002","0","0","0","0"
"12","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","447","447","0","0","0","33","0","0","220.27272727272728","<EngineException>","<EngineException>","0","0","0","94","0.21029082774049218","0","0","0","0"
"13","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","447","447","0","0","0","33","0","0","196.3030303030303","<EngineException>","<EngineException>","0","0","0","221","0.49440715883668906","0","0","0","0"
"14","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","30","2","0","193.76344086021507","125","<EngineException>","2","0","0","38","0.076","19","0.038","0","0"
"15","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","0","0","1","28","4","0","206.07142857142858","420.5","177.552","5","1","0","144","0.288","85","0.17","4","0.008"
"16","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","494","494","0","0","0","33","0","0","205.9090909090909","<EngineException>","<EngineException>","0","0","0","35","0.0708502024291498","0","0","0","0"
"17","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","1","0","26","5","0","220.64197530864197","340.1666666666667","<EngineException>","6","0","0","183","0.366","29","0.058","0","0"
"18","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","376","376","0","0","0","31","1","1","195.58064516129033","100","166","2","1","0","180","0.4787234042553192","15","0.0398936170212766","0","0"
"19","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","31","1","0","252.54166666666666","200","<EngineException>","1","0","0","102","0.204","12","0.024","0","0"
"20","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","32","0","0","233.4747474747475","<EngineException>","<EngineException>","0","0","0","161","0.322","0","0","0","0"
"21","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","31","1","0","228.98958333333334","300","<EngineException>","1","0","0","64","0.128","20","0.04","0","0"
"22","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","3","2","0","24","4","0","261.98765432098764","374","<EngineException>","6","0","0","90","0.18","93","0.186","0","0"
"23","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","0","0","29","3","0","194.24444444444444","382.3333333333333","<EngineException>","3","0","0","314","0.628","55","0.11","0","0"
"24","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","453","453","0","0","0","33","0","0","236.36363636363637","<EngineException>","<EngineException>","0","0","0","220","0.4856512141280353","0","0","0","0"
"25","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","0","0","0","33","0","0","298.3030303030303","<EngineException>","<EngineException>","0","0","0","2","0.004","0","0","0","0"
"26","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","3","0","0","29","1","0","261.7604166666667","450","<EngineException>","1","0","0","214","0.428","42","0.084","0","0"
"27","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","1","0","29","2","0","243.27777777777777","383.3333333333333","<EngineException>","3","0","0","97","0.194","42","0.084","0","0"
"28","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","0","0","0","33","0","0","225.63636363636363","<EngineException>","<EngineException>","0","0","0","68","0.136","0","0","0","0"
"29","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","2","0","0","30","1","0","237.5625","397","<EngineException>","1","0","0","19","0.038","13","0.026","0","0"
"30","500","0","15","50","50","0","33","false","true","false","""normal""","false","""normal""","500","500","1","3","0","27","1","1","222.80952380952382","597.75","74","5","1","0","125","0.25","47","0.094","10","0.02"
"31","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","98","0","0","124.23198653198654","<EngineException>","<EngineException>","0","0","0","916","1.832","0","0","0","0"
"32","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","402","402","0","0","0","96","3","0","120.1875","165.66666666666666","<EngineException>","3","0","0","898","2.2338308457711444","47","0.11691542288557213","0","0"
"33","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","417","417","0","0","0","96","3","0","106.70833333333333","108.66666666666667","<EngineException>","3","0","0","830","1.9904076738609113","26","0.06235011990407674","0","0"
"34","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","485","485","0","0","0","92","7","0","124.47826086956522","154.71428571428572","<EngineException>","7","0","0","1045","2.154639175257732","66","0.1360824742268041","0","0"
"35","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","379","379","0","0","0","92","7","0","105.27173913043478","176.71428571428572","<EngineException>","7","0","0","781","2.0606860158311346","81","0.21372031662269128","0","0"
"36","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","482","482","0","0","0","99","0","0","122.0909090909091","<EngineException>","<EngineException>","0","0","0","627","1.3008298755186722","0","0","0","0"
"37","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","0","0","0","97","2","0","105.83505154639175","247","<EngineException>","2","0","0","993","1.986","41","0.082","0","0"
"38","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","98","0","0","111.96296296296298","<EngineException>","<EngineException>","0","0","0","787","1.574","0","0","0","0"
"39","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","92","6","0","117.43727598566308","197","<EngineException>","6","0","0","1005","2.01","92","0.184","0","0"
"40","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","364","364","0","0","0","93","6","0","113.46236559139786","191.33333333333334","<EngineException>","6","0","0","721","1.9807692307692308","102","0.2802197802197802","0","0"
"41","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","444","444","0","0","0","95","4","0","124.46315789473684","237.25","<EngineException>","4","0","0","1119","2.52027027027027","47","0.10585585585585586","0","0"
"42","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","496","496","0","0","0","92","7","0","111.8804347826087","232.57142857142858","<EngineException>","7","0","0","1006","2.028225806451613","112","0.22580645161290322","0","0"
"43","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","488","488","0","0","0","98","1","0","90.12244897959184","194","<EngineException>","1","0","0","866","1.7745901639344261","10","0.020491803278688523","0","0"
"44","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","399","399","0","0","0","94","5","0","126.94680851063829","193.2","<EngineException>","5","0","0","845","2.117794486215539","36","0.09022556390977443","0","0"
"45","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","429","429","0","0","0","99","0","0","117.48484848484848","<EngineException>","<EngineException>","0","0","0","811","1.8904428904428905","0","0","0","0"
"46","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","351","351","0","0","0","96","3","0","112.375","107.66666666666667","<EngineException>","3","0","0","806","2.2962962962962963","48","0.13675213675213677","0","0"
"47","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","98","0","0","125.08754208754208","<EngineException>","<EngineException>","0","0","0","898","1.796","0","0","0","0"
"48","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","394","394","0","0","0","96","3","0","123.83333333333333","83.33333333333333","<EngineException>","3","0","0","789","2.00253807106599","34","0.08629441624365482","0","0"
"49","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","472","472","0","0","0","93","6","0","116.7741935483871","212.16666666666666","<EngineException>","6","0","0","1115","2.36228813559322","98","0.2076271186440678","0","0"
"50","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","435","435","0","0","0","97","2","0","109.91752577319588","154","<EngineException>","2","0","0","770","1.7701149425287357","6","0.013793103448275862","0","0"
"51","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","93","4","1","121.43971631205675","131.25","60","5","1","0","811","1.622","30","0.06","3","0.006"
"52","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","426","426","0","0","0","89","10","0","118.59550561797752","130.7","<EngineException>","10","0","0","947","2.223004694835681","114","0.2676056338028169","0","0"
"53","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","373","373","0","0","0","94","5","0","110.69148936170212","178.2","<EngineException>","5","0","0","1035","2.774798927613941","96","0.257372654155496","0","0"
"54","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","385","385","0","0","0","95","4","0","113.70526315789473","182.25","<EngineException>","4","0","0","983","2.553246753246753","74","0.19220779220779222","0","0"
"55","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","491","491","0","0","0","98","1","0","113.98979591836735","47","<EngineException>","1","0","0","871","1.7739307535641549","18","0.03665987780040733","0","0"
"56","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","446","446","0","0","0","90","9","0","105.0111111111111","221.22222222222223","<EngineException>","9","0","0","932","2.0896860986547083","75","0.1681614349775785","0","0"
"57","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","402","402","0","0","0","96","3","0","113.23958333333333","112.66666666666667","<EngineException>","3","0","0","1058","2.6318407960199006","64","0.15920398009950248","0","0"
"58","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","500","500","1","0","0","94","4","0","118.99649122807017","330.5","<EngineException>","4","0","0","909","1.818","24","0.048","0","0"
"59","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","483","483","0","0","0","97","2","0","120.4639175257732","73.5","<EngineException>","2","0","0","1111","2.300207039337474","4","0.008281573498964804","0","0"
"60","500","0","15","50","50","0","99","false","true","false","""normal""","false","""normal""","447","447","0","0","0","96","3","0","112.54166666666667","192","<EngineException>","3","0","0","1067","2.3870246085011186","43","0.09619686800894854","0","0"
