BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2016 21:16:45:890 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],ticks,count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
1,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,4,1,0,27,1,0,264.4138322580645,238.897893632,0,2,0,0,0,418,836,18,36
2,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,5,1,0,26,1,0,296.7741935483871,273.5,0,2,0,0,0,383,766,0,0
3,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,3,1,0,27,2,0,276.53333333333336,148904,0,3,0,0,0,381,762,10,0.02
4,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,4,0,0,29,0,0,295.45454545454544,0,0,0,0,0,0,410,0.82,0,0
5,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,6,0,0,25,2,0,306.61290322580646,93,0,2,0,0,0,358,716,6,12
6,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,6,0,0,27,0,0,287.8787878787879,0,0,0,0,0,0,408,816,0,0
7,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,6,0,0,26,1,0,314.0625,171,0,1,0,0,0,316,632,0,0
8,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,2,0,0,31,0,0,243.93939393939394,0,0,0,0,0,0,293,586,0,0
9,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,7,0,0,24,2,0,311.2903225806452,47.5,0,2,0,0,0,372,744,0,0
10,500,0,15,50,50,33,0,false,true,false,"""normal""",false,"""normal""",500,500,0,5,0,0,27,1,0,281.25,42,0,1,0,0,0,352,704,1,2
