BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 11:29:37:493 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
1,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,30,34,1,239.84516129032258,148.73529411764707,196,2,1,0,580,1.16,430,0.86,16,32
2,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,2,0,0,31,33,0,224,137.87878787878788,0,0,0,0,405,0.81,489,978,0,0
3,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,2,1,0,28,34,1,207.09333333333333,132.0857142857143,43,3,1,0,497,994,420,0.84,0,0
4,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,0,1,0,28,37,0,186.53571428571428,140.57894736842104,0,5,0,0,402,804,378,756,0,0
5,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,2,1,0,28,34,1,198.4222222222222,155.94285714285715,31,3,1,0,390,0.78,395,0.79,0,0
6,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,25,40,0,243.82051282051282,145.1,0,7,0,0,510,1.02,483,966,0,0
7,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",497,0,0,0,29,36,1,188.58620689655172,137.13888888888889,58,4,1,0,322,0.647887323943662,409,0.8229376257545271,0,0
8,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,31,33,1,214.54166666666666,126.36363636363636,37,1,1,0,621,1242,505,1.01,6,12
9,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,31,34,0,221.51041666666666,128.1764705882353,0,1,0,0,586,1172,488,976,0,0
10,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,3,0,0,30,33,0,212.26868686868687,159.0909090909091,0,0,0,0,472,944,607,1214,0,0
11,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,31,33,1,215.40625,138.27272727272728,117,1,1,0,436,872,467,934,32,64
12,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,29,35,1,195.22222222222223,162.28571428571428,258,3,1,0,573,1146,596,1192,41,82
13,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,2,0,0,31,32,1,214.97979797979798,143.75,12,0,1,0,409,818,527,1054,0,0
14,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,2,0,0,30,33,1,230.76041666666666,129.36363636363637,18,1,1,0,602,1204,445,0.89,3,6
15,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,1,29,34,1,205.9477777777778,116.23529411764706,233.5,3,2,0,432,864,439,878,17,34
16,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,31,33,1,217.34479166666665,120.36363636363636,226,1,1,0,515,1.03,476,952,61,122
17,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,32,32,1,191.15151515151516,139.0625,116,0,1,0,608,1216,568,1136,7,14
18,500,0,15,50,50,33,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,31,34,0,196.88645833333334,120.5,0,1,0,0,491,982,466,932,0,0
