BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,
modelo-3,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 22:31:54:362 +0000,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid)
1,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",126,0,0,0,66,66,0,"45,3333333333","58,9090909091",0
2,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",167,0,0,0,65,67,0,"47,2923076923","57,4776119403",0
3,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",108,0,0,0,66,66,0,"39,4848484848","60,6212121212",0
4,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",123,0,0,0,65,67,0,"47,4615384615","57,5820895522",0
5,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",154,0,0,0,64,67,1,"54,4375","58,5373134328",55
6,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",107,0,0,0,66,66,0,"42,2272727273","58,6666666667",0
7,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",129,0,0,0,66,65,1,"47,0909090909","57,0769230769",76
8,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",123,0,0,0,66,65,1,"46,9848484848","57,6153846154",45
9,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",151,0,0,0,66,65,1,"44,0757575758","58,2",22
10,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",104,0,0,0,63,69,0,"41,9365079365","59,1739130435",0
11,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",129,0,0,0,66,66,0,"44,8333333333","57,5454545455",0
12,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",163,0,0,0,62,70,0,"44,5967741935","61,4714285714",0
13,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",125,0,0,0,64,67,1,47125,"60,1492537313",10
14,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",163,0,0,0,66,66,0,"46,3181818182","59,0606060606",0
15,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",188,0,0,0,66,66,0,"44,7121212121","58,7272727273",0
16,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",103,0,0,0,64,68,0,"46,828125","58,5294117647",0
17,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",138,0,0,0,66,65,1,"43,1818181818","61,3538461538",6
18,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",120,0,0,0,65,67,0,"54,4307692308","59,0447761194",0
19,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",133,0,0,0,64,68,0,"45,71875","60,3088235294",0
20,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",113,0,0,0,65,67,0,"45,3230769231","58,8358208955",0
21,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",123,0,0,0,65,67,0,"46,3538461538","58,5074626866",0
22,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",114,0,0,0,65,66,1,"42,6153846154","60,1060606061",60
23,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",151,0,0,0,66,65,1,"47,7424242424","57,7846153846",74
24,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",166,0,0,0,66,65,1,"44,8636363636","60,6615384615",76
25,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",148,0,0,0,64,68,0,"46,8125","58,7647058824",0
26,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",106,0,0,0,65,67,0,"42,5230769231","58,5671641791",0
27,500,0,15,12.5,50,66,66,false,true,true,"""normal""",false,"""normal""",135,0,0,0,65,66,1,"44,3692307692","56,4696969697",100
